created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-03-07 08:52:17 UTC,91,86.56148,275,1027,,,,,,,
2021-03-07 08:52:36 UTC,92,86.56221,280,1027,,,,,,,
2021-03-07 08:52:54 UTC,93,86.56148,285,1027,,,,,,,
2021-03-07 08:53:12 UTC,94,84.48888,290,131,,,,,,,
2021-03-07 08:53:30 UTC,95,84.55431,295,131,,,,,,,
2021-03-07 08:53:48 UTC,96,80.93070,300,32,,,,,,,
2021-03-07 08:54:06 UTC,97,84.49432,305,131,,,,,,,
2021-03-07 08:54:24 UTC,98,80.12820,310,30,,,,,,,
2021-03-07 08:54:42 UTC,99,79.28118,315,30,,,,,,,
2021-03-07 08:55:00 UTC,100,79.34409,320,30,,,,,,,
2021-03-07 08:55:18 UTC,101,80.75020,325,31,,,,,,,
2021-03-07 08:55:36 UTC,102,79.09306,330,30,,,,,,,
2021-03-07 08:55:51 UTC,103,84.81655,334,132,,,,,,,
2021-03-07 08:56:08 UTC,104,80.43591,338,31,,,,,,,
2021-03-07 08:56:26 UTC,105,80.21391,343,30,,,,,,,
2021-03-07 08:56:44 UTC,106,84.94209,348,132,,,,,,,
2021-03-07 08:57:02 UTC,107,81.40756,353,31,,,,,,,
2021-03-07 08:57:20 UTC,108,80.22775,358,31,,,,,,,
2021-03-07 08:57:38 UTC,109,80.50744,363,33,,,,,,,
2021-03-07 08:57:56 UTC,110,81.36095,368,33,,,,,,,
2021-03-07 08:58:14 UTC,111,86.56221,373,1027,,,,,,,
2021-03-07 09:04:37 UTC,112,0.06038,1,31,31,31,31,,,,
2021-03-07 09:04:55 UTC,113,0.01349,1,31,31,31,31,,,,
2021-03-07 09:05:13 UTC,114,0.00785,1,32,32,32,32,,,,
2021-03-07 09:05:31 UTC,115,0.35235,1,132,132,132,132,,,,
2021-03-07 09:05:49 UTC,116,0.00001,1,7,7,7,7,,,,
2021-03-07 09:06:07 UTC,117,0.02099,1,37,37,37,37,,,,
2021-03-07 09:06:25 UTC,118,0.00217,1,14,14,14,14,,,,
2021-03-07 09:06:43 UTC,119,0.00220,1,18,18,18,18,,,,
2021-03-07 09:07:01 UTC,120,0.00162,1,18,18,18,18,,,,
2021-03-07 09:07:18 UTC,121,0.00128,1,18,18,18,18,,,,
2021-03-07 09:07:36 UTC,122,0.00106,1,18,18,18,18,,,,
2021-03-07 09:07:51 UTC,123,0.00093,1,18,18,18,18,,,,
2021-03-07 09:08:07 UTC,124,0.00082,1,18,18,18,18,,,,
2021-03-07 09:08:22 UTC,125,0.00073,1,18,18,18,18,,,,
2021-03-07 09:08:40 UTC,126,0.00066,1,18,18,18,18,,,,
2021-03-07 09:08:58 UTC,127,0.00065,1,19,19,19,19,,,,
2021-03-07 09:09:16 UTC,128,0.00054,1,18,18,18,18,,,,
2021-03-07 09:09:34 UTC,129,0.00050,1,18,18,18,18,,,,
2021-03-07 09:09:52 UTC,130,0.00046,1,18,18,18,18,,,,
2021-03-07 09:10:11 UTC,131,0.00043,1,18,18,18,18,,,,
2021-03-07 09:10:47 UTC,132,0.03506,1,18,16,14,12,,,,
2021-03-07 09:11:04 UTC,133,0.00780,1,18,16,14,12,,,,
2021-03-07 09:11:22 UTC,134,0.00440,1,18,16,14,12,,,,
2021-03-07 09:11:40 UTC,135,0.00306,1,18,16,14,12,,,,
2021-03-07 09:11:58 UTC,136,0.00235,1,18,16,14,12,,,,
2021-03-07 09:12:16 UTC,137,0.00191,1,18,16,14,12,,,,
2021-03-07 09:12:34 UTC,138,0.00160,1,18,16,14,12,,,,
2021-03-07 09:12:52 UTC,139,0.00138,1,18,16,14,12,,,,
2021-03-07 09:13:09 UTC,140,0.00122,1,18,16,14,12,,,,
2021-03-07 09:13:27 UTC,141,0.00109,1,18,16,14,12,,,,
2021-03-07 09:13:45 UTC,142,0.00098,1,18,16,14,12,,,,
2021-03-07 09:14:03 UTC,143,0.00089,1,18,16,14,12,,,,
2021-03-07 09:14:20 UTC,144,0.00082,1,18,16,14,12,,,,
2021-03-07 09:14:38 UTC,145,0.00076,1,18,16,14,12,,,,
2021-03-07 09:14:56 UTC,146,0.00071,1,18,16,14,12,,,,
2021-03-07 09:15:14 UTC,147,0.00066,1,18,16,14,12,,,,
2021-03-07 09:15:32 UTC,148,0.00062,1,18,16,14,12,,,,
2021-03-07 09:15:50 UTC,149,0.00058,1,18,16,14,12,,,,
2021-03-07 09:16:08 UTC,150,0.00055,1,18,16,14,12,,,,
2021-03-07 09:16:26 UTC,151,0.00052,1,18,16,14,12,,,,
2021-03-07 09:16:43 UTC,152,0.00050,1,18,16,14,12,,,,
2021-03-07 09:17:01 UTC,153,0.00047,1,18,16,14,12,,,,
2021-03-07 09:17:19 UTC,154,0.00045,1,18,16,14,12,,,,
2021-03-07 09:17:37 UTC,155,0.00043,1,18,16,14,12,,,,
2021-03-07 09:17:55 UTC,156,0.00042,1,18,16,14,12,,,,
2021-03-07 09:18:13 UTC,157,0.00040,1,18,16,14,12,,,,
2021-03-07 09:18:30 UTC,158,0.00038,1,18,16,14,12,,,,
2021-03-07 09:18:48 UTC,159,0.00037,1,18,16,14,12,,,,
2021-03-07 09:19:06 UTC,160,0.00036,1,18,16,14,12,,,,
2021-03-07 09:19:24 UTC,161,0.00034,1,18,16,14,12,,,,
2021-03-07 09:19:42 UTC,162,0.00033,1,18,16,14,12,,,,
2021-03-07 09:20:00 UTC,163,0.00032,1,18,16,14,12,,,,
2021-03-07 09:20:18 UTC,164,0.00031,1,18,16,14,12,,,,
2021-03-07 09:20:35 UTC,165,0.00030,1,18,16,14,12,,,,
2021-03-07 09:20:53 UTC,166,0.00029,1,18,16,14,12,,,,
2021-03-07 09:21:11 UTC,167,0.00029,1,18,16,14,12,,,,
2021-03-07 09:21:29 UTC,168,0.00028,1,18,16,14,12,,,,
2021-03-07 09:21:47 UTC,169,0.00027,1,18,16,14,12,,,,
2021-03-07 09:22:05 UTC,170,0.00026,1,18,16,14,12,,,,
2021-03-07 09:22:22 UTC,171,0.03656,1,18,16,14,12,,,,
2021-03-07 09:22:40 UTC,172,0.00610,1,18,16,14,12,,,,
2021-03-07 09:22:58 UTC,173,0.00332,1,18,16,14,12,,,,
2021-03-07 09:23:16 UTC,174,0.00210,1,17,15,13,11,,,,
2021-03-07 09:23:34 UTC,175,0.00174,1,18,16,14,12,,,,
2021-03-07 09:23:51 UTC,176,0.00140,1,18,16,14,12,,,,
2021-03-07 09:24:09 UTC,177,0.00118,1,18,16,14,12,,,,
2021-03-07 09:24:27 UTC,178,0.00101,1,18,16,14,12,,,,
2021-03-07 09:24:45 UTC,179,0.00089,1,18,16,14,12,,,,
2021-03-07 09:25:03 UTC,180,0.00086,1,19,17,15,13,,,,
2021-03-07 09:25:20 UTC,181,0.00066,1,17,15,13,11,,,,
2021-03-07 09:25:38 UTC,182,0.00065,1,18,16,14,12,,,,
2021-03-07 09:32:54 UTC,183,75.91734,1,18,16,14,12,,,,
2021-03-07 09:33:12 UTC,184,74.53416,1,18,16,14,12,,,,
2021-03-07 09:33:30 UTC,185,72.69790,1,18,16,14,12,,,,
2021-03-07 09:33:45 UTC,186,71.54882,1,17,15,13,11,,,,
2021-03-07 09:34:03 UTC,187,71.69971,1,17,15,13,11,,,,
2021-03-07 09:34:19 UTC,188,71.60910,1,17,15,13,11,,,,
2021-03-07 09:34:36 UTC,189,74.07407,1,18,16,14,12,,,,
2021-03-07 09:34:54 UTC,190,71.66948,1,17,15,13,11,,,,
2021-03-07 09:35:12 UTC,191,71.60910,1,17,15,13,11,,,,
2021-03-07 09:35:30 UTC,192,71.60910,1,17,15,13,11,,,,
2021-03-07 09:35:48 UTC,193,71.72996,1,17,15,13,11,,,,
2021-03-07 09:36:06 UTC,194,71.60910,1,17,15,13,11,,,,
2021-03-07 09:36:24 UTC,195,71.42857,1,17,15,13,11,,,,
2021-03-07 09:36:42 UTC,196,73.33909,1,17,15,13,11,,,,
2021-03-07 09:37:00 UTC,197,71.45860,1,17,15,13,11,,,,
2021-03-07 09:37:16 UTC,198,71.51872,1,17,15,13,11,,,,
2021-03-07 09:37:34 UTC,199,165.18425,1,4,2,0,-2,,,,
2021-03-07 09:37:52 UTC,200,38.88889,1,12,10,8,6,,,,
2021-03-07 09:38:10 UTC,201,39.95434,1,12,10,8,6,,,,
2021-03-07 09:38:28 UTC,202,39.93155,1,12,10,8,6,,,,
2021-03-07 09:38:46 UTC,203,40.00000,1,12,10,8,6,,,,
2021-03-07 09:39:04 UTC,204,40.04576,1,12,10,8,6,,,,
2021-03-07 09:39:22 UTC,205,40.09164,1,12,10,8,6,,,,
2021-03-07 09:39:40 UTC,206,36.60769,1,11,9,7,5,,,,
2021-03-07 09:39:58 UTC,207,22.43830,1,8,6,4,2,,,,
